Scrip,Company,Symbol
500124,Dr Reddy's Laboratories Ltd,DRREDDY.BO
539524,Dr. Lal PathLabs Ltd,LALPATHLAB.BO
532927,eClerx Services Ltd,ECLERX.BO
532922,Edelweiss Financial Services Ltd,EDELWEISS.BO
505200,Eicher Motors Ltd,EICHERMOT.BO
500125,EID Parry India Ltd,EIDPARRY.BO
500840,EIH Ltd,EIHOTEL.BO
522074,Elgi Equipments Ltd.,ELGIEQUIP.BO
531162,Emami Ltd,EMAMILTD.BO
540153,Endurance Technologies Ltd,ENDURANCE.BO
532178,Engineers India Ltd,ENGINERSIN.BO
539844,Equitas Holdings Ltd,EQUITAS.BO
540596,Eris Lifesciences Ltd,ERIS.BO
500495,Escorts Ltd,ESCORTS.BO
500135,Essel Propack Ltd.,ESSELPRO.BO
531508,Eveready Industries India Ltd,EVEREADY.BO
500086,Exide Industries Ltd,EXIDEIND.BO
531599,FDC Ltd,FDC.BO
500469,Federal Bank Ltd,FEDERALBNK.BO
500144,Finolex Cables Ltd,FINCABLES.BO
500940,Finolex Industries Ltd,FINOLEXIND.BO
532809,Firstsource Solutions Ltd,FSL.BO
502865,Forbes & Company Ltd.,FORBESCO.BO
500033,Force Motors Ltd,FORCEMOT.BO
532843,Fortis Healthcare Ltd.,FORTIS.BO
533400,Future Consumer Ltd,FCONSUMER.BO
536507,Future Lifestyle Fashions Limited,FLFL.BO
540064,Future Retail Ltd,FRETAIL.BO
532155,Gail India Ltd,GAIL.BO
540935,Galaxy Surfactants Ltd,GALAXYSURF.BO
532622,Gateway Distriparks Ltd,GDL.BO
532767,Gayatri Projects Ltd,GAYAPROJ.BO
532309,GE Power India Ltd,GEPIL.BO
522275,GE T&D India Ltd,GET&D.BO
540755,General Insurance Corporation of India,GICRE.BO
500171,GHCL Ltd,GHCL.BO
511676,GIC Housing Finance Ltd,GICHSGFIN.BO
507815,Gillette India Ltd,GILLETTE.BO
500676,GlaxoSmithKline Consumer Healthcare Ltd,GSKCONS.BO
500660,GlaxoSmithKline Pharmaceuticals Ltd,GLAXO.BO
532296,Glenmark Pharmaceuticals Ltd,GLENMARK.BO
532754,GMR Infrastructure Ltd,GMRINFRA.BO
500163,Godfrey Phillips India Ltd,GODFRYPHLP.BO
540743,Godrej Agrovet Ltd,GODREJAGRO.BO
532424,Godrej Consumer Products Ltd,GODREJCP.BO
500164,Godrej Industries Ltd,GODREJIND.BO
533150,Godrej Properties Ltd,GODREJPROP.BO
532482,Granules India Ltd,GRANULES.BO
509488,Graphite India Ltd.,GRAPHITE.BO
500300,Grasim Industries Ltd,GRASIM.BO
501455,Greaves Cotton Ltd.,GREAVESCOT.BO
526797,Greenply Industries Ltd.,GREENPLY.BO
506076,Grindwell Norton Ltd,GRINDWELL.BO
511288,GRUH Finance Ltd.,GRUH.BO
530001,Gujarat Alkalies & Chemicals Ltd.,GUJALKALI.BO
500173,Gujarat Fluorochemicals,GUJFLUORO.BO
539336,Gujarat Gas Ltd,GUJGAS.BO
532181,Gujarat Mineral Development Corp Ltd,GMDCLTD.BO
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.BO
533248,Gujarat Pipavav Port Ltd,GPPL.BO
500690,Gujarat State Fertilisers & Chemicals Ltd,GSFC.BO
532702,Gujarat State Petronet Ltd,GSPL.BO
538567,Gulf Oil Lubricants India Ltd,GULFOILLUB.BO
531531,Hatsun Agro Products Ltd,HATSUN.BO
517354,Havells India Ltd,HAVELLS.BO
532281,HCL Technologies Ltd,HCLTECH.BO
500180,HDFC Bank Ltd,HDFCBANK.BO
540777,HDFC Life Insurance Company Ltd,HDFCLIFE.BO
509631,HEG Ltd,HEG.BO
500292,HeidelbergCement India Ltd.,HEIDELBERG.BO
519552,Heritage Foods Ltd,HERITGFOOD.BO
500182,Hero MotoCorp Ltd,HEROMOTOCO.BO
532129,Hexaware Technologies Ltd,HEXAWARE.BO
500183,Himachal Futuristic Communications Ltd,HFCL.BO
500184,Himadri Speciality Chemical Ltd,HSCL.BO
514043,Himatsingka Seide,HIMATSEIDE.BO
500440,Hindalco Industries Ltd,HINDALCO.BO
541154,Hindustan Aeronautics Ltd,HAL.BO
513599,Hindustan Copper,HINDCOPPER.BO
500104,Hindustan Petroleum Corp Ltd,HINDPETRO.BO
500696,Hindustan Unilever Ltd,HINDUNILVR.BO
500188,Hindustan Zinc Ltd,HINDZINC.BO
517174,Honeywell Automation India Ltd,HONAUT.BO
540530,Housing and Urban Development Corporation Ltd,HUDCO.BO
500010,Housing Development Finance Corp,HDFC.BO
500187,HSIL Ltd,HSIL.BO
532174,ICICI Bank Ltd,ICICIBANK.BO
540716,ICICI Lombard General Insurance Company Ltd,ICICIGI.BO
540133,ICICI Prudential Life Insurance Company Ltd,ICICIPRULI.BO
541179,ICICI Securities Ltd,ISEC.BO
500116,IDBI Bank Ltd,IDBI.BO
539437,IDFC First Bank Ltd,IDFCFIRSTB.BO
532659,IDFC Limited,IDFC.BO
505726,IFB Industries Ltd,IFBIND.BO
500106,IFCI Ltd,IFCI.BO
530005,India Cements Ltd,INDIACEM.BO
532189,India Tourism Development Corp Ltd,ITDC.BO
535789,Indiabulls Housing Finance Limited,IBULHSGFIN.BO
533520,Indiabulls Integrated Services Ltd,IBULISL.BO
532832,Indiabulls Real Estate Ltd,IBREALEST.BO
532960,Indiabulls Ventures Ltd,IBVENTURES.BO
532814,Indian Bank,INDIANB.BO
540750,Indian Energy Exchange Ltd,IEX.BO
500850,Indian Hotels Co Ltd,INDHOTEL.BO
530965,Indian Oil Corp Ltd,IOC.BO
532388,Indian Overseas Bank,IOB.BO
541336,Indostar Capital Finance Ltd,INDOSTAR.BO
532514,Indraprastha Gas Ltd,IGL.BO
532187,IndusInd Bank Ltd,INDUSINDBK.BO
539807,Infibeam Avenues Ltd,INFIBEAM.BO
532777,Info Edge (India) Ltd.,NAUKRI.BO
500209,Infosys Ltd,INFY.BO
532706,Inox Leisure,INOXLEISUR.BO
539083,Inox Wind Ltd,INOXWIND.BO
538835,Intellect Design Arena Ltd.,INTELLECT.BO
539448,InterGlobe Aviation Ltd,INDIGO.BO
524494,Ipca Laboratories Ltd,IPCALAB.BO
532947,IRB Infrastructure Developers Ltd,IRB.BO
533033,ISGEC Heavy Engineering Ltd,ISGEC.BO
500875,ITC Ltd,ITC.BO
509496,ITD Cementation India Ltd,ITDCEM.BO
523610,ITI Ltd,ITI.BO
530007,J. K. Tyre Industries Ltd,JKTYRE.BO
506943,J.B.Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.BO
532644,J.K. Cement Ltd.,JKCEMENT.BO
532705,Jagran Prakashan Ltd,JAGRAN.BO
512237,Jai Corp Ltd,JAICORPLTD.BO
500219,Jain Irrigation Systems Ltd,JISLJALEQS.BO
532532,Jaiprakash Associates Ltd,JPASSOCIAT.BO
532209,Jammu & Kashmir Bank Ltd,J&KBANK.BO
520051,Jamna Auto Industries Ltd,JAMNAAUTO.BO
532617,Jet Airways India Ltd,JETAIRWAYS.BO
500378,Jindal SAW Ltd,JINDALSAW.BO
539597,Jindal Stainless (Hisar) Ltd,JSLHISAR.BO
532508,Jindal Stainless Ltd.,JSL.BO
532286,Jindal Steel & Power Ltd,JINDALSTEL.BO
500380,JK Lakshmi Cement Ltd,JKLAKSHMI.BO
523405,JM Financial Ltd,JMFINANCIL.BO
523398,Johnson Controls -Hitachi Air Conditioning India Ltd,JCHAC.BO
533148,JSW Energy Ltd,JSWENERGY.BO
500228,JSW Steel Ltd,JSWSTEEL.BO
533155,Jubilant FoodWorks Ltd,JUBLFOOD.BO
530019,Jubilant Life Sciences Ltd,JUBILANT.BO
535648,Just Dial Ltd,JUSTDIAL.BO
532926,Jyothy Laboratories Ltd,JYOTHYLAB.BO
500233,Kajaria Ceramics Ltd.,KAJARIACER.BO
522287,Kalpataru Power Transmission Ltd,KALPATPOWR.BO
500165,Kansai Nerolac Paints Ltd.,KANSAINER.BO
532652,Karnataka Bank Ltd,KTKBANK.BO
532899,Kaveri Seed Co Ltd,KSCL.BO
532714,KEC International Ltd India,KEC.BO
517569,KEI Industries Ltd,KEI.BO
540680,KIOCL Ltd,KIOCL.BO
532942,KNR Constructions Ltd,KNRCON.BO
500247,Kotak Mahindra Bank Ltd,KOTAKBANK.BO
532889,KPR Mill Ltd,KPRMILL.BO
530813,KRBL Ltd,KRBL.BO
533519,L&T Finance Holdings Ltd,L&TFH.BO
540115,L&T Technology Services Ltd,LTTS.BO
526947,La Opala Rg Ltd.,LAOPALA.BO
500252,Lakshmi Machine Works Ltd,LAXMIMACH.BO
534690,Lakshmi Vilas Bank Ltd.,LAKSHVILAS.BO
540005,Larsen & Toubro Infotech Ltd,LTI.BO
500510,Larsen & Toubro Ltd,LT.BO
540222,Laurus Labs Ltd,LAURUSLABS.BO
541233,Lemon Tree Hotels Ltd,LEMONTREE.BO
500253,LIC Housing Finance Ltd,LICHSGFIN.BO
523457,Linde India Ltd,LINDEINDIA.BO
500257,Lupin Ltd,LUPIN.BO
539542,Lux Industries Ltd,LUXIND.BO
524000,Magma Fincorp Ltd.,MAGMA.BO
539957,Mahanagar Gas Ltd,MGL.BO
532720,Mahindra & Mahindra Financial Services Ltd,M&MFIN.BO
500520,Mahindra & Mahindra Ltd,M&M.BO
532756,Mahindra CIE Automotive Ltd,MAHINDCIE.BO
533088,Mahindra Holidays & Resorts India Ltd,MHRIL.BO
532313,Mahindra Lifespace Developers Ltd,MAHLIFE.BO
540768,Mahindra Logistics Ltd,MAHLOG.BO
531213,Manappuram Finance Ltd,MANAPPURAM.BO
500109,Mangalore Refinery & Petrochemicals Ltd,MRPL.BO
539207,Manpasand Beverages Ltd,MANPASAND.BO
531642,Marico Ltd,MARICO.BO
532500,Maruti Suzuki India Ltd,MARUTI.BO
500271,Max Financial Services Ltd,MFSL.BO
539981,Max India Ltd,MAXINDIA.BO
532865,Meghmani Organics Ltd,MEGH.BO
500126,Merck Ltd.,MERCK.BO
538962,Minda Corporation Ltd,MINDACORP.BO
532539,Minda Industries Ltd,MINDAIND.BO
532819,MindTree Ltd,MINDTREE.BO
513377,MMTC LTD,MMTC.BO
533286,MOIL Ltd,MOIL.BO
524084,Monsanto India Ltd,MONSANTO.BO
517334,Motherson Sumi Systems Ltd,MOTHERSUMI.BO
532892,Motilal Oswal Financial Services Ltd,MOTILALOFS.BO
526299,MphasiS Ltd,MPHASIS.BO
500290,MRF Ltd,MRF.BO
534091,Multi Commodity Exchange of India Limited,MCX.BO
533398,Muthoot Finance Ltd,MUTHOOTFIN.BO
539551,Narayana Hrudayalaya Ltd,NH.BO
524816,Natco Pharma Ltd,NATCOPHARM-.BO
532234,National Aluminium Co Ltd,NATIONALUM.BO
513023,Nava Bharat Ventures Ltd,NBVENTURES.BO
532504,Navin Fluorine International Ltd.,NAVINFLUOR.BO
539332,Navkar Corporation Ltd,NAVKARCORP.BO
508989,Navneet Education Ltd,NAVNETEDUL.BO
534309,NBCC (India) Ltd,NBCC.BO
500294,NCC Ltd India,NCC.BO
505355,Nesco Ltd.,NESCO.BO
500790,Nestle India Ltd,NESTLEIND.BO
532798,Network 18 Media & Investments Ltd,NETWORK18.BO
533098,NHPC Ltd,NHPC.BO
532541,NIIT Technologies Ltd,NIITTECH.BO
523385,Nilkamal Ltd,NILKAMAL.BO
513683,NLC India Ltd,NLCINDIA.BO
526371,NMDC Ltd,NMDC.BO
500730,NOCIL Ltd.,NOCIL.BO
532555,NTPC Ltd,NTPC.BO
533273,Oberoi Realty Ltd,OBEROIRLTY.BO
500312,Oil & Natural Gas Corp Ltd,ONGC.BO
533106,Oil India Ltd,OIL.BO
532880,Omaxe Ltd,OMAXE.BO
532466,Oracle Financial Services Software Ltd,OFSS.BO
535754,Orient Cement Ltd,ORIENTCEM.BO
500315,Oriental Bank Of Commerce,ORIENTBANK.BO
532827,Page Industries Ltd,PAGEIND.BO
539889,Parag Milk Foods Ltd,PARAGMILK.BO
534809,PC Jeweller Ltd.,PCJEWELLER.BO
533179,Persistent Systems Ltd,PERSISTENT.BO
532522,Petronet LNG Ltd,PETRONET.BO
500680,Pfizer Ltd (India),PFIZER.BO
506590,Phillips Carbon Black Ltd,PHILIPCARB.BO
503100,Phoenix Mills Ltd,PHOENIXLTD.BO
523642,PI Industries Ltd,PIIND.BO
500331,Pidilite Industries Ltd,PIDILITIND.BO
500302,Piramal Enterprises Ltd,PEL.BO
540173,PNB Housing Finance Ltd,PNBHOUSING.BO
539150,PNC Infratech Ltd,PNCINFRA.BO
532810,Power Finance Corp Ltd,PFC.BO
532898,Power Grid Corp of India Ltd,POWERGRID.BO
533274,Prestige Estates Projects Ltd,PRESTIGE.BO
500338,Prism Johnson Ltd,PRSMJOHNSN.BO
